year,DeflationCoef
1981,71.82
1982,73.59
1983,75.56
1984,76.54
1985,76.55
1986,80.31
1987,80.34
1988,80.39
1989,82.47
1990,86.7
1991,89.72
1992,92.6
1993,95.82
1994,97.46
1995,99.77
1996,102.11
1997,104.36
1998,107.75
1999,105.68
2000,104.72
2001,104.06
2002,103.63
2003,102.18
2004,101.41
2005,99.89
2006,98.64
2007,98.13
2008,95.54
2009,95.66
2010,94.43
2011,92.39
2012,93.02
2013,94.43
2014,96
2015,99.25
2016,100
2017,99.16
2018,98.57
2019,98.41
2020,100.26
2021,102.73
2022,104.74
2023,94.755
2024,94.755
2025,94.755
2026,94.755
2027,94.755
2028,94.755
2029,94.755
2030,94.755
2031,94.755
2032,94.755
2033,94.755
2034,94.755
2035,94.755
2036,94.755
2037,94.755
2038,94.755
2039,94.755
2040,94.755
2041,94.755
2042,94.755
2043,94.755
2044,94.755
2045,94.755
2046,94.755
2047,94.755
2048,94.755
2049,94.755
2050,94.755
