year,GDPperCapita
1981,100079
1982,105586
1983,116305
1984,127747
1985,132093
1986,152768
1987,170512
1988,182244
1989,201065
1990,220637
1991,244739
1992,270928
1993,296672
1994,321502
1995,347526
1996,374569
1997,402380
1998,428946
1999,445447
2000,465574
2001,452951
2002,473260
2003,484164
2004,512047
2005,529556
2006,550863
2007,583133
2008,570279
2009,559807
2010,607596
2011,614922
2012,630749
2013,654142
2014,694680
2015,726895
2016,746526
2017,763445
2018,779260
2019,801348
2020,844485
2021,926314
2022,976914
2023,890883
2024,910624
2025,930366
2026,950107
2027,969848
2028,989590
2029,1009331
2030,1029072
2031,1048814
2032,1068555
2033,1088296
2034,1108038
2035,1127779
2036,1147520
2037,1167262
2038,1187003
2039,1206744
2040,1226486
2041,1246227
2042,1265968
2043,1285710
2044,1305451
2045,1325192
2046,1344934
2047,1364675
2048,1384416
2049,1404158
2050,1423899
