city,bus,tour_bus,heavy_truck,light_truck,taxi
NewTaipei,6343,993,15114,99513,21333
Taipei,2602,3497,7900,65058,31133
Taoyuan,904,1323,21524,76097,5473
Taichung,1376,1943,21740,124694,8230
Tainan,698,1359,13755,88941,4049
Kaohsiung,1021,1933,26673,106521,8835
Yilan,152,175,4085,21931,763
Hsinchu,86,454,5893,22005,671
Miaoli,127,354,5148,27604,368
Changhua,336,762,13743,77051,1330
Nantou,109,304,4718,37341,300
Yunlin,168,456,8790,52182,212
Chiayi,8,148,4885,39182,295
Pingtung,259,262,6484,54929,364
Taitung,87,98,1699,17063,361
Hualien,84,270,2623,20795,1019
Penghu,66,197,539,4052,209
Keelung,165,63,2353,6796,3765
HsinchuCity,325,654,2253,12110,753
ChiayiCity,216,475,2339,10162,491
national,15132,15720,172258,964027,89954
