year,high,median,low
1960,10792202,10792202,10792202
1961,11149139,11149139,11149139
1962,11511728,11511728,11511728
1963,11883523,11883523,11883523
1964,12256682,12256682,12256682
1965,12628348,12628348,12628348
1966,12992763,12992763,12992763
1967,13296571,13296571,13296571
1968,13650370,13650370,13650370
1969,14334862,14334862,14334862
1970,14675964,14675964,14675964
1971,14994823,14994823,14994823
1972,15367774,15367774,15367774
1973,15642467,15642467,15642467
1974,15927167,15927167,15927167
1975,16223089,16223089,16223089
1976,16579737,16579737,16579737
1977,16882053,16882053,16882053
1978,17202491,17202491,17202491
1979,17543067,17543067,17543067
1980,17866008,17866008,17866008
1981,18193955,18193955,18193955
1982,18515754,18515754,18515754
1983,18790538,18790538,18790538
1984,19069194,19069194,19069194
1985,19313825,19313825,19313825
1986,19509082,19509082,19509082
1987,19725010,19725010,19725010
1988,19954397,19954397,19954397
1989,20156587,20156587,20156587
1990,20401305,20401305,20401305
1991,20605831,20605831,20605831
1992,20802622,20802622,20802622
1993,20995416,20995416,20995416
1994,21177874,21177874,21177874
1995,21357431,21357431,21357431
1996,21525433,21525433,21525433
1997,21742815,21742815,21742815
1998,21928591,21928591,21928591
1999,22092387,22092387,22092387
2000,22276672,22276672,22276672
2001,22405568,22405568,22405568
2002,22520776,22520776,22520776
2003,22604550,22604550,22604550
2004,22689122,22689122,22689122
2005,22770383,22770383,22770383
2006,22876527,22876527,22876527
2007,22958360,22958360,22958360
2008,23037031,23037031,23037031
2009,23119772,23119772,23119772
2010,23162123,23162123,23162123
2011,23224912,23224912,23224912
2012,23315822,23315822,23315822
2013,23373517,23373517,23373517
2014,23433753,23433753,23433753
2015,23492074,23492074,23492074
2016,23539816,23539816,23539816
2017,23571227,23571227,23571227
2018,23588932,23588932,23588932
2019,23603121,23603121,23603121
2020,23561236,23561236,23561236
2021,23375314,23375314,23375314
2022,23264640,23264640,23264640
2023,23288417,23278642,23266876
2024,23435699,23419168,23399424
2025,23401696,23378719,23350957
2026,23364222,23333621,23296143
2027,23319342,23280379,23231722
2028,23270236,23222138,23160537
2029,23216577,23158709,23082104
2030,23158580,23090446,22996500
2031,23096665,23017561,22903744
2032,23031121,22940059,22803714
2033,22962334,22857427,22696446
2034,22881381,22761812,22575996
2035,22799816,22663780,22451455
2036,22724682,22569761,22328322
2037,22631205,22457883,22189204
2038,22536765,22343455,22046131
2039,22432835,22219236,21893493
2040,22322122,22087796,21733566
2041,22204565,21949228,21566499
2042,22081116,21805100,21393704
2043,21951329,21654963,21214747
2044,21815304,21498901,21029759
2045,21673459,21337539,20839326
2046,21525694,21170685,20643481
2047,21371566,20997677,20441849
2048,21211679,20818957,20234874
2049,21046937,20635328,20023246
2050,20877825,20447170,19807418
2051,20704303,20254442,19587420
2052,20526534,20057364,19363498
2053,20345222,19856628,19136160
2054,20161379,19653201,18906170
2055,19974894,19446971,18673381
2056,19786259,19238371,18438136
2057,19595960,19027934,18200896
2058,19404133,18815757,17961732
2059,19210990,18601949,17720781
2060,19016999,18386951,17478386
2061,18822743,18171267,17234864
2062,18628428,17955138,16990487
2063,18433955,17738529,16745277
2064,18239389,17521501,16499351
2065,18044940,17304216,16252893
2066,17850803,17086858,16006016
2067,17657330,16869789,15759208
2068,17464270,16652804,15512341
2069,17271705,16436055,15265571
2070,17079705,16219572,15018883
