city,scooter_ICEV,scooter_BEV,bus_ICEV,tour_bus_ICEV,heavy_truck_ICEV,car_ICEV_g,car_ICEV_d,car_BEV,light_truck_ICEV_g,light_truck_ICEV_d,taxi_ICEV_g,taxi_ICEV_d,taxi_BEV
NewTaipei,5113,5113,67108,58793,33448,12129,14877,14106,11509,16739,28330,33562,26443
Taipei,3968,3968,69461,58793,33448,12214,14981,14291,11509,16739,29313,34727,26929
Taoyuan,4865,4865,49186,58793,33448,12889,15783,14987,11509,16739,27972,33137,26482
Taichung,4634,4634,64380,58793,33448,12198,14961,14185,11509,16739,28488,33749,25097
Tainan,8465,8465,101285,58793,33448,11988,14704,13915,11509,16739,30197,35774,25603
Kaohsiung,7458,7458,54651,58793,33448,11643,14281,13545,11509,16739,25669,30410,22118
Yilan,7711,7711,66364,58793,33448,11330,13897,13251,11509,16739,21587,25574,19698
Hsinchu,4430,4430,47479,58793,33448,13889,17036,16256,11509,16739,23921,28339,22784
Miaoli,4705,4705,48112,58793,33448,13182,16169,15333,11509,16739,20019,23716,19010
Changhua,4728,4728,61942,58793,33448,12497,15328,14444,11509,16739,22798,27009,19711
Nantou,4973,4973,61942,58793,33448,11731,14389,13673,11509,16739,23712,28092,21930
Yunlin,5212,5212,99625,58793,33448,12931,15861,15100,11509,16739,23840,28243,23777
Chiayi,5430,5430,223775,58793,33448,11895,14590,13822,11509,16739,22539,26702,22522
Pingtung,10652,10652,54157,58793,33448,12083,14820,14063,11509,16739,20277,24022,18753
Taitung,5705,5705,53130,58793,33448,12282,15065,14480,11509,16739,20824,24670,20769
Hualien,4329,4329,73698,58793,33448,9923,12172,11555,11509,16739,20019,23716,19779
Penghu,26115,26115,29865,58793,33448,8628,10583,9984,11509,16739,20211,23943,22600
Keelung,3754,3754,68949,58793,33448,11785,14456,13626,11509,16739,25519,30231,24354
HsinchuCity,4153,4153,48009,58793,33448,11969,14681,14013,11509,16739,27755,32881,28010
ChiayiCity,4860,4860,99625,58793,33448,11536,14150,13486,11509,16739,23402,27724,22505
total,6385,6385,66084,58793,33448,12179,14967,14224,11509,16739,28360,33103,26016
